Latitude,Longitude,Launch Site,Launch Mass,Date of Launch,Users,Purpose,Current Official Name of Satellite,Country,Capital
0,-1,Cape Canaveral,5400,11/12/20,Military,Earth Observation,USA 311,USA,Washington D.C.
0,-94.39,Cape Canaveral,6169,08/08/19,Military,Communications,USA 292,USA,Washington D.C.
0,3,Cape Canaveral,6169,26/03/20,Military,Communications,USA 298,USA,Washington D.C.
0,17,Cape Canaveral,6500,06/08/19,Military,Communications,Amos 17,Israel,Jerusalem
0,115.9,Cape Canaveral,5500,20/07/20,Military,Communications,ANASIS-II,South Korea,Seoul
0,134,Xichang Satellite Launch Center,5550,09/07/20,Commercial,Communications,Apstar 6D,China,Beijing
0,30.5,Cape Canaveral,6465,11/04/19,Commercial,Communications,Arabsat 6A,Multinational,Riyadh
0,-101,Guiana Space Center,6350,20/06/19,Commercial,Communications,AT&T T16,USA,Washington D.C.
0,110.03,Xichang Satellite Launch Center,800,20/04/19,Military,Navigation/Global Positioning,Beidou DW 44,China,Beijing
0,144.48,Xichang Satellite Launch Center,800,17/05/19,Military,Navigation/Global Positioning,Beidou DW 45,China,Beijing
0,105.99,Xichang Satellite Launch Center,800,24/06/19,Military,Navigation/Global Positioning,Beidou DW 46,China,Beijing
0,106.72,Xichang Satellite Launch Center,4200,05/11/19,Military,Navigation/Global Positioning,Beidou 3 IGSO-3,China,Beijing
0,111,Xichang Satellite Launch Center,800,23/06/20,Military,Navigation/Global Positioning,Beidou DW 55,China,Beijing
0,79,Xichang Satellite Launch Center,2200,09/03/20,Military,Navigation/Global Positioning,Beidou G3,China,Beijing
0,55,Baikonur Cosmodrome,3000,05/08/19,Military,Communications,Cosmos 2539,Russia,Moscow
0,108,Guiana Space Center,3520,15/08/20,Commercial,Communications,BSAT-4B,Japan,Tokyo
0,78,Satish Dhawan Space Centre,1500,17/12/20,Government,Communications,CMS-1,India,New Delhi
0,33,Guiana Space Center,3186,06/08/19,Commercial,Communications,EDRS-C,EU,Paris
0,165.8,Baikonur Cosmodrome,2094,24/12/19,Government,Earth Observation,Electro-L3,Russia,Moscow
0,-5,Baikonur Cosmodrome,2864,09/10/19,Commercial,Communications,Eutelsat 5 West B,Multinational,Paris
0,7,Guiana Space Center,3400,20/06/19,Commercial,Communications,Eutelsat 7C,Multinational,Paris
0,14,Guiana Space Center,3618,16/01/20,Commercial,Communications,Eutelsat Konnect,Multinational,Paris
0,96.5,Baikonur Cosmodrome,2150,30/07/20,Commercial,Communications,Express-103,Russia,Moscow
0,80,Baikonur Cosmodrome,2150,30/07/20,Commercial,Communications,Express-80,Russia,Moscow
0,-125,Guiana Space Center,3298,15/08/20,Commercial,Communications,Galaxy-30,USA,Washington D.C.
0,118,Xichang Satellite Launch Center,1000,11/10/20,Government,Earth Observation,Gaofen 13,China,Beijing
0,128,Guiana Space Center,3379,18/02/20,Government,Earth Observation,GEO-Kompsat-2B,South Korea,Seoul
0,83,Guiana Space Center,3357,16/01/20,Government,Communications,GSAT-30,India,New Delhi
0,48,Guiana Space Center,2536,05/02/19,Government,Communications,GSAT-31,India,New Delhi
0,39,Guiana Space Center,6495,05/02/19,Commercial,Communications,Hellas-Sat 4,Greece,Athens
0,11,Guiana Space Center,4007,26/11/19,Commercial,Communications,INMARSAT 5 F5,United Kingdom,London
0,62,Guiana Space Center,6600,06/08/19,Commercial,Communications,Intelsat 39,USA,Washington D.C.
0,136,Guiana Space Center,5857,18/02/20,Commercial,Communications,JCSat 17,Japan,Tokyo
0,150,Cape Canaveral,6956,17/12/19,Commercial,Communications,JCSat18/Kacific 1,Japan/Singapore,Tokyo
0,91,Tanegashima Space Center,4000,29/11/20,Government,Communications,LUCAS,Japan,Tokyo
0,-27.5,Baikonur Cosmodrome,2875,09/10/19,Commercial,Mission Extension Technology,MEV-1,USA,Washington D.C.
0,359,Guiana Space Center,2875,15/08/20,Commercial,Mission Extension Technology,MEV-2,USA,Washington D.C.
0,146,Cape Canaveral,4100,21/02/19,Commercial,Communications,Nusantara Satu (PSN-6),Indonesia,Jakarta
0,125,Wenchang Satellite Launch Center,7600,27/12/19,Government,Technology Development,Shijian 20,China,Beijing
0,5,Wenchang Satellite Launch Center,5000,12/03/21,Government,Technology Development,Shiyan 9,China,Beijing
0,-85.15,Cape Canaveral,7000,13/12/20,Commercial,Communications,Sirius XM-7,USA,Washington D.C.
0,0,Xichang Satellite Launch Center,5200,31/03/19,Government,Communications,TianLian 2.01,China,Beijing
0,122,Xichang Satellite Launch Center,4600,12/11/20,Government,Communications,Tiantong-1-02,China,Beijing
0,81.43,Xichang Satellite Launch Center,4600,19/01/21,Government,Communications,Tiantong-1-03,China,Beijing
0,35.5,Guiana Space Center,5600,26/11/19,Military,Communications,TIBA-1,Egypt,Cairo
0,83.53,Xichang Satellite Launch Center,4600,18/10/19,Government,Technology Development,TJS-4,China,Beijing
0,178,Xichang Satellite Launch Center,2700,07/01/20,Government,Communications,TJS-5,China,Beijing
0,179,Xichang Satellite Launch Center,2700,04/02/21,Government,Communications,TJS-6,China,Beijing
0,31.5,Cape Canaveral,3500,08/01/21,Commercial,Communications,Turksat 5A,Turkey,Ankara
0,-52,Cape Canaveral,5990,16/03/19,Military,Communications,USA 291,USA,Washington D.C.
0,49,Baikonur Cosmodrome,5400,30/05/19,Commercial,Communications,Yamal-601,Russia,Moscow
0,130,Xichang Satellite Launch Center,5200,10/01/19,Government,Communications,Zhongxing 2D,China,Beijing
0,133,Xichang Satellite Launch Center,4600,11/03/19,Government,Communications,Zhongxing 6C,China,Beijing